site_id,arr_id,lon,lat
1,2,-17.525142,14.746832
2,2,-17.524360,14.747434
3,2,-17.522576,14.745198
4,2,-17.516398,14.746730
5,2,-17.512870,14.740658
6,2,-17.512103,14.748411
7,2,-17.510958,14.737403
8,2,-17.508395,14.730968
9,2,-17.507036,14.740671
10,2,-17.508766,14.747767
11,2,-17.505067,14.751808
12,2,-17.499875,14.754555
13,2,-17.497565,14.728712
14,2,-17.497759,14.732262
15,2,-17.493970,14.754447
16,2,-17.494845,14.724453
17,2,-17.490356,14.733770
18,2,-17.491645,14.727389
19,2,-17.491293,14.719656
20,2,-17.491396,14.756656
21,2,-17.487934,14.750047
22,2,-17.486997,14.752257
23,2,-17.491255,14.745721
24,2,-17.486972,14.724319
25,2,-17.487569,14.707238
26,2,-17.485364,14.726616
27,2,-17.484902,14.718472
28,2,-17.480833,14.724458
29,2,-17.481918,14.725431
30,2,-17.480514,14.713803
31,2,-17.479050,14.762229
32,2,-17.481245,14.703930
33,2,-17.480766,14.709816
34,2,-17.480860,14.718215
35,2,-17.474797,14.760298
36,2,-17.474843,14.707023
37,2,-17.476595,14.703825
38,2,-17.474466,14.723921
39,2,-17.475090,14.711362
40,4,-17.472775,14.700727
41,2,-17.475263,14.713093
42,2,-17.475318,14.756450
43,2,-17.476416,14.738208
44,2,-17.475218,14.747570
45,1,-17.475376,14.731479
46,2,-17.472078,14.708471
47,4,-17.472331,14.695087
48,2,-17.471791,14.720893
49,3,-17.470591,14.728215
50,2,-17.471946,14.753731
51,2,-17.471624,14.750367
52,2,-17.470132,14.701305
53,2,-17.470171,14.760457
54,2,-17.469863,14.748479
55,1,-17.468955,14.738509
56,2,-17.469568,14.745296
57,3,-17.470860,14.724240
58,3,-17.469460,14.730911
59,2,-17.468904,14.713397
60,3,-17.470313,14.716990
61,4,-17.469347,14.677531
62,4,-17.469349,14.690587
63,2,-17.468546,14.748886
64,2,-17.467651,14.709607
65,4,-17.468378,14.694284
66,4,-17.467849,14.683629
67,2,-17.467381,14.759610
68,2,-17.466153,14.750553
69,2,-17.466940,14.756418
70,4,-17.465813,14.699413
71,1,-17.467852,14.737170
72,3,-17.465708,14.724483
73,2,-17.465968,14.705823
74,2,-17.466756,14.711590
75,3,-17.465261,14.729225
76,2,-17.465463,14.714412
77,4,-17.466756,14.685505
78,1,-17.466465,14.740890
79,4,-17.463679,14.695285
80,1,-17.466239,14.746694
81,2,-17.463652,14.712400
82,4,-17.463549,14.680952
83,2,-17.462295,14.749303
84,2,-17.461845,14.707758
85,4,-17.462928,14.692848
86,2,-17.463921,14.759949
87,2,-17.463202,14.717809
88,1,-17.463548,14.738111
89,2,-17.461157,14.721505
90,2,-17.462370,14.757709
91,4,-17.462261,14.698695
92,3,-17.462257,14.726853
93,1,-17.461361,14.733214
94,4,-17.461646,14.688180
95,1,-17.460571,14.741360
96,2,-17.459618,14.756228
97,1,-17.460410,14.729414
98,2,-17.459463,14.752255
99,3,-17.460724,14.720153
100,3,-17.461115,14.724244
101,4,-17.459076,14.696802
102,3,-17.458913,14.712193
103,2,-17.458807,14.715797
104,4,-17.459468,14.680770
105,4,-17.459146,14.701626
106,4,-17.457884,14.706047
107,1,-17.459382,14.737253
108,3,-17.458092,14.721619
109,4,-17.458340,14.679061
110,4,-17.456986,14.686536
111,1,-17.457424,14.741267
112,1,-17.457446,14.744069
113,4,-17.458318,14.690811
114,3,-17.456147,14.707861
115,2,-17.456609,14.754299
116,1,-17.458094,14.750450
117,3,-17.456937,14.726170
118,1,-17.457853,14.740414
119,1,-17.456170,14.734001
120,4,-17.456405,14.682720
121,1,-17.455123,14.730459
122,3,-17.455971,14.718371
123,2,-17.456315,14.758179
124,4,-17.455961,14.680300
125,3,-17.454238,14.705465
126,3,-17.455121,14.721854
127,3,-17.455819,14.712339
128,4,-17.455101,14.693734
129,2,-17.454573,14.756774
130,4,-17.453092,14.676733
131,3,-17.452843,14.700483
132,4,-17.453588,14.688325
133,1,-17.453738,14.747978
134,1,-17.455278,14.752542
135,3,-17.454267,14.725193
136,1,-17.453263,14.742610
137,1,-17.454343,14.729793
138,1,-17.453261,14.738625
139,4,-17.452326,14.693656
140,4,-17.453440,14.683465
141,3,-17.453441,14.709997
142,3,-17.453055,14.716741
143,1,-17.452308,14.740615
144,3,-17.451809,14.714067
145,2,-17.452314,14.762411
146,3,-17.451919,14.722878
147,4,-17.451185,14.678560
148,4,-17.449819,14.696307
149,3,-17.450986,14.711912
150,4,-17.450794,14.674675
151,1,-17.451205,14.754448
152,1,-17.452184,14.736771
153,1,-17.450758,14.757879
154,1,-17.451419,14.732130
155,4,-17.449332,14.686768
156,1,-17.449631,14.744686
157,3,-17.450096,14.703719
158,3,-17.449222,14.709474
159,3,-17.450545,14.707033
160,3,-17.449695,14.720262
161,4,-17.450404,14.690296
162,3,-17.449841,14.724163
163,4,-17.449755,14.681792
164,1,-17.449850,14.740438
165,4,-17.449754,14.679568
166,3,-17.449089,14.726699
167,1,-17.448685,14.749559
168,3,-17.448846,14.714874
169,1,-17.448004,14.761569
170,4,-17.446510,14.694214
171,3,-17.447830,14.709486
172,3,-17.448241,14.710364
173,1,-17.448722,14.746471
174,3,-17.448159,14.715617
175,4,-17.447423,14.672989
176,1,-17.448362,14.752828
177,4,-17.447022,14.687635
178,1,-17.446935,14.755621
179,4,-17.446367,14.677470
180,1,-17.446842,14.731638
181,3,-17.445823,14.725674
182,1,-17.444960,14.736088
183,3,-17.444736,14.706359
184,3,-17.445925,14.723525
185,4,-17.446062,14.683975
186,1,-17.446843,14.763943
187,3,-17.446144,14.712313
188,4,-17.443712,14.692505
189,1,-17.444715,14.738841
190,1,-17.444959,14.742476
191,3,-17.444697,14.697815
192,3,-17.445921,14.701803
193,4,-17.443503,14.675178
194,1,-17.444333,14.753048
195,1,-17.444145,14.727931
196,1,-17.443766,14.760615
197,4,-17.442134,14.666512
198,1,-17.444046,14.758063
199,1,-17.443511,14.755149
200,4,-17.443365,14.670718
201,4,-17.443259,14.687435
202,4,-17.443206,14.678117
203,1,-17.441609,14.750080
204,3,-17.442743,14.715371
205,3,-17.443513,14.719337
206,3,-17.441900,14.708396
207,1,-17.441113,14.746749
208,4,-17.441881,14.664208
209,1,-17.442331,14.762564
